STUDY_ID,SAMPLE_ID,CDKN2A,MDM2,MDM4,TP53,type,z_CDKN2A,z_MDM2,z_MDM4,z_TP53
lgg_tcga,TCGA-CS-4942-01,29.0657,1257.0934,385.1211,1290.3114,Complementary,-0.6049,-0.4391,-1.4694,0.2407
lgg_tcga,TCGA-CS-5390-01,163.5783,1749.7033,775.1712,1904.5185,Complementary,-0.2008,0.8131,-0.1947,1.2906
lgg_tcga,TCGA-CS-5393-01,128.3034,1402.8646,615.2915,1233.0038,Complementary,-0.3068,-0.0685,-0.7172,0.1428
lgg_tcga,TCGA-CS-6665-01,168.785,1594.9839,869.3442,1181.8336,Complementary,-0.1852,0.4198,0.113,0.0553
lgg_tcga,TCGA-CS-6670-01,157.0838,1311.9128,609.1695,890.6426,Complementary,-0.2203,-0.2998,-0.7372,-0.4424
lgg_tcga,TCGA-DB-5275-01,286.2618,1011.0806,860.4516,1501.2913,Complementary,0.1677,-1.0645,0.084,0.6014
lgg_tcga,TCGA-DB-5276-01,283.3102,1276.0055,544.429,716.4124,Complementary,0.1589,-0.391,-0.9488,-0.7403
lgg_tcga,TCGA-DB-5279-01,17.0102,1015.3779,359.504,669.2858,Complementary,-0.6411,-1.0536,-1.5531,-0.8208
lgg_tcga,TCGA-DB-5280-01,587.7709,1117.6419,746.7322,1097.9911,Complementary,1.0735,-0.7936,-0.2877,-0.088
lgg_tcga,TCGA-DB-A4X9-01,286.9066,1117.8925,1107.4596,914.9713,Complementary,0.1697,-0.793,0.8912,-0.4009
lgg_tcga,TCGA-DB-A4XB-01,110.8285,1057.9574,1079.909,1309.0617,Complementary,-0.3593,-0.9453,0.8012,0.2728
lgg_tcga,TCGA-DB-A4XE-01,188.4352,1135.6425,809.0824,1775.9564,Complementary,-0.1261,-0.7478,-0.0839,1.0709
lgg_tcga,TCGA-DB-A64R-01,11.1434,1519.8643,1304.2636,1327.0349,Complementary,-0.6587,0.2289,1.5344,0.3035
lgg_tcga,TCGA-DB-A64S-01,101.7699,1284.1691,1272.8614,1165.6834,Complementary,-0.3865,-0.3703,1.4318,0.0277
lgg_tcga,TCGA-DB-A64U-01,117.7599,1753.3563,1306.099,1262.3705,Complementary,-0.3385,0.8224,1.5404,0.193
lgg_tcga,TCGA-DH-A66D-01,253.0864,1093.75,1161.2654,1408.5648,Complementary,0.0681,-0.8543,1.0671,0.4429
