UniprotID,url
Q9H094,http://original.disprot.org/temp/1585332693.505739.pondrfit
Q3BBV0,http://original.disprot.org/temp/1585332974.218554.pondrfit
Q86T75,http://original.disprot.org/temp/1585333126.908150.pondrfit
Q8N660,http://original.disprot.org/temp/1585333227.820015.pondrfit
Q5TAG4,http://original.disprot.org/temp/1585333505.199416.pondrfit
Q86XG9,http://original.disprot.org/temp/1585333619.396218.pondrfit
Q3BBV2,http://original.disprot.org/temp/1585333702.943996.pondrfit
Q6P3W6,http://original.disprot.org/temp/1585333825.716459.pondrfit
Q5TI25,http://original.disprot.org/temp/1585333921.816219.pondrfit
Q5VWK0,http://original.disprot.org/temp/1585334004.929959.pondrfit
P0DPF3,http://original.disprot.org/temp/1585334079.039832.pondrfit
P0C2Y1,http://original.disprot.org/temp/1585334150.720560.pondrfit
Q96M43,http://original.disprot.org/temp/1585334242.049144.pondrfit
A0A087WUL8,http://original.disprot.org/temp/1585334509.350118.pondrfit
B4DH59,http://original.disprot.org/temp/1585334598.998717.pondrfit
P0DPF2,http://original.disprot.org/temp/1585334695.111081.pondrfit
Q99666,http://original.disprot.org/temp/1585334791.262990.pondrfit
O14715,http://original.disprot.org/temp/1585334872.889672.pondrfit
P0DJD1,http://original.disprot.org/temp/1585335007.999847.pondrfit
Q7Z3J3,http://original.disprot.org/temp/1585335075.232273.pondrfit
A6NKT7,http://original.disprot.org/temp/1585335183.522378.pondrfit
P0DJD0,http://original.disprot.org/temp/1585335278.281212.pondrfit
Q15486,http://original.disprot.org/temp/1585335373.225422.pondrfit
Q6P575,http://original.disprot.org/temp/1585335488.767991.pondrfit
A4D2B8,http://original.disprot.org/temp/1585335564.326627.pondrfit
