UniprotID,resid.VLXT,dis_rgns.VLXT,n_dis.VLXT,lg_rgn.VLXT,pct.VLXT,avg.VLXT,resid.VL3,dis_rgns.VL3,n_dis.VL3,lg_rgn.VL3,pct.VL3,avg.VL3,resid.VSL2,dis_rgns.VSL2,n_dis.VSL2,lg_rgn.VSL2,pct.VSL2,avg.VSL2
A6NC78,632,14,472,91,74.68,0.6515,632,2,601,484,95.09,0.7543,632,4,598,323,94.62,0.8152
A6NCC3,632,9,452,104,71.52,0.6308,632,3,568,309,89.87,0.7241,632,5,585,305,92.56,0.8041
A6NN73,597,10,432,139,72.36,0.6647,597,2,563,443,94.3,0.741,597,4,564,291,94.47,0.8281
A7E2F4,631,11,480,145,76.07,0.6831,631,1,602,602,95.4,0.7454,631,3,602,463,95.4,0.8351
A8MQ11,134,4,48,17,35.82,0.3672,134,1,47,47,35.07,0.51,134,6,68,49,50.75,0.5207
A8MQT2,603,11,452,145,74.96,0.6706,603,1,579,579,96.02,0.741,603,3,575,435,95.36,0.8261
B4DYI2,1134,20,704,118,62.08,0.5658,1134,5,922,374,81.31,0.7062,1134,9,977,371,86.16,0.7525
H3BSY2,632,12,483,158,76.42,0.6594,632,2,581,475,91.93,0.7333,632,4,593,321,93.83,0.8149
O95744,297,8,83,18,27.95,0.3349,297,2,47,36,15.82,0.3849,297,7,97,40,32.66,0.4342
P0C874,917,16,361,55,39.37,0.4009,917,6,577,196,62.92,0.5711,917,13,635,229,69.25,0.6298
P0DKV0,1188,22,761,118,64.06,0.5838,1188,3,993,499,83.59,0.7006,1188,6,1042,498,87.71,0.7574
Q08AF8,430,7,324,139,75.35,0.6751,430,2,391,273,90.93,0.7311,430,3,393,269,91.4,0.8265
Q0D2H9,430,7,324,139,75.35,0.6749,430,2,392,274,91.16,0.7311,430,3,394,270,91.63,0.8276
Q13401,168,4,53,23,31.55,0.3567,168,2,70,40,41.67,0.4618,168,4,70,45,41.67,0.4544
Q13670,270,6,128,44,47.41,0.4442,270,3,149,111,55.19,0.5384,270,4,178,120,65.93,0.5895
Q5TZJ5,1347,29,723,114,53.67,0.5175,1347,7,987,395,73.27,0.626,1347,12,1060,260,78.69,0.6799
Q5VU36,1347,28,710,107,52.71,0.5038,1347,6,1009,396,74.91,0.6329,1347,11,1060,260,78.69,0.6781
Q5VVP1,1343,23,692,114,51.53,0.5039,1343,6,1024,399,76.25,0.6291,1343,10,1066,260,79.37,0.6848
Q5VYP0,1347,29,714,107,53.01,0.5085,1347,6,1011,395,75.06,0.6291,1347,11,1063,260,78.92,0.6838
Q68D20,193,2,156,125,80.83,0.7519,193,1,193,193,100,0.9264,193,1,193,193,100,0.9404
Q6ZQQ2,1576,35,603,54,38.26,0.405,1576,10,1075,253,68.21,0.5928,1576,25,1196,214,75.89,0.6558
Q6ZUB0,917,16,360,55,39.26,0.3998,917,6,566,196,61.72,0.5674,917,14,632,229,68.92,0.6272
Q6ZUB1,1445,22,869,111,60.14,0.5776,1445,7,1009,306,69.83,0.6651,1445,15,1156,357,80,0.7227
Q8IWB4,1347,28,701,107,52.04,0.5036,1347,6,1001,396,74.31,0.6248,1347,12,1047,260,77.73,0.6751
Q9BSJ1,452,5,104,49,23.01,0.2666,452,2,91,54,20.13,0.3217,452,9,130,42,28.76,0.3601
